A_1_1.fq.sorted.bam	B_2_1.fq.sorted.bam	C_3_1.fq.sorted.bam	D_4_1.fq.sorted.bam	E_5_1.fq.sorted.bam	F_6_1.fq.sorted.bam	R4_1.fq.sorted.bam	R4S_1.fq.sorted.bam	R5_1.fq.sorted.bam	R5S_1.fq.sorted.bam	R6_1.fq.sorted.bam	R6S_1.fq.sorted.bam
HP_RS03325	150	295	163	340	400	476	406	296	241	316	259	268
HP_RS03330	2215	2896	2426	3336	2850	3203	4163	4486	2671	4122	3378	3635
HP_RS03335	5026	6120	4763	12544	8248	9263	8978	8709	6403	8914	8239	9189
HP_RS03340	508	1656	626	687	756	894	583	484	318	415	454	453
HP_RS03345	323	622	426	390	391	473	442	289	221	331	351	262
HP_RS03350	1705	1864	1765	1227	1242	1317	2484	2284	1471	2440	2089	2224
HP_RS03355	663	893	466	1302	1731	2111	1539	1266	942	1244	1173	1345
HP_RS03360	1399	1862	1185	3335	4081	6423	2639	3255	1498	2919	2089	2708
HP_RS03365	842	1195	841	1987	2590	2716	3076	2213	1868	2223	2369	1914
HP_RS03370	3021	4033	2763	2120	1688	1811	3084	3114	1969	2564	2529	2776
HP_RS03375	781	1975	636	1919	1034	1726	247	135	135	107	207	116
HP_RS03380	443	1054	381	691	566	943	104	76	55	69	87	63
HP_RS03385	291	789	241	494	410	753	105	55	44	65	70	61
HP_RS03390	1210	3309	1096	3996	2425	3775	518	283	317	294	420	295
HP_RS03395	2066	2877	1726	2970	3629	4241	2926	2544	1848	2505	2475	2589
HP_RS03400	8673	19095	7241	31811	13399	18942	709	518	542	609	713	575
HP_RS03405	7944	22960	6616	23675	12040	17771	728	636	599	691	749	648
HP_RS03410	3433	6977	3176	9958	5371	6702	285	252	191	254	286	267
HP_RS03415	5636	7529	5217	4131	5614	6368	8083	7523	4553	7315	5893	6862
HP_RS03420	769	982	707	1332	1397	1414	1929	1718	1170	1726	1492	1715
HP_RS03425	8367	10495	8077	11416	7943	8085	11684	11043	8058	10971	11132	11478
HP_RS03430	1184	1998	1007	1678	1551	1641	1930	1670	1444	1804	1860	1982
HP_RS03435	2082	3259	1758	3556	2783	2843	3810	3166	2678	3148	3576	3365
HP_RS03440	1877	2316	1974	2779	2822	2797	3039	2137	1950	1863	2413	1879
HP_RS03445	6670	8399	6808	10982	9657	10587	20745	20108	13340	19932	17082	19180
HP_RS03450	1102	1515	976	4690	3880	4196	3817	2824	2421	2719	3147	2632
HP_RS03455	78	114	81	364	495	446	397	280	275	247	288	281
HP_RS03460	145	226	141	234	333	370	139	141	78	131	104	117
HP_RS03465	659	812	687	2683	5397	5026	1296	1359	733	1361	942	1146
HP_RS03470	533	608	441	1016	1310	1253	2683	2545	1524	2295	1867	2345
HP_RS03475	181	237	160	406	649	604	1113	1063	610	962	740	986
HP_RS03480	834	1190	707	1415	1617	1744	2457	2845	1424	2423	1736	2463
HP_RS03485	500	657	579	823	886	974	1823	2150	1026	1823	1330	1663
HP_RS03490	181	275	216	194	270	290	720	786	430	685	515	582
HP_RS03495	1958	2355	1710	1913	2128	2253	3234	2947	1966	3041	2407	2847
HP_RS03500	508	685	452	403	660	687	910	814	541	807	747	781
HP_RS03505	20957	27593	21785	31496	17317	18639	29864	27875	23111	27022	30072	29493
HP_RS03510	19678	24786	20391	21345	15560	16527	28553	26813	21390	25299	27559	26937
HP_RS03515	354	819	299	540	877	855	4024	3938	2677	4208	3429	4517
HP_RS03520	1179	2910	920	137	186	215	418	221	238	243	356	203
HP_RS03525	2638	5286	2039	3569	4332	5405	4957	6722	3574	6799	4765	6475
HP_RS03530	1118	1528	944	4514	5500	6135	21365	22692	15009	22858	19298	24140
HP_RS03535	1012	1531	1040	1372	1652	2029	2321	2312	1348	2241	1811	1961
HP_RS03540	636	840	616	1418	1692	1983	2237	2982	1186	2718	1486	2550
HP_RS03545	355	496	318	463	566	605	751	631	432	637	553	639
HP_RS03550	1817	2662	1580	1239	1512	1587	1939	1791	1361	1536	1599	1815
HP_RS03555	1200	1541	1065	809	900	977	1116	1053	805	930	1006	985
HP_RS03560	323	386	282	702	873	858	628	504	370	463	503	442
HP_RS03565	1468	1836	1462	1294	1871	1842	2621	2271	1578	2106	2005	2069
HP_RS03570	3140	3866	3260	3866	3263	3169	5016	4507	3252	4058	4040	4274
HP_RS03575	2209	2827	2179	1776	2115	2075	2824	2614	1959	2527	2420	2973
HP_RS03580	3481	4412	3233	5340	3510	3483	4675	4001	3093	3953	3762	4281
HP_RS03585	385	367	332	478	891	829	1063	1018	531	1130	710	914
HP_RS03590	7956	10173	7109	7026	7870	8644	7314	6536	4700	6385	6228	6580
HP_RS03595	1326	1582	1091	2495	2760	3049	2199	1789	1303	1884	1643	2003
HP_RS03600	1806	2236	1541	3041	3012	3210	2996	2609	1952	2526	2354	2772
HP_RS03605	762	825	634	1569	1277	1297	1340	1116	902	1067	1131	1185
HP_RS03610	3218	3550	3147	5387	3593	3734	5004	4247	3337	3944	4353	4172
HP_RS03615	783	1048	766	1160	1249	1276	1706	1298	985	1115	1300	1160
HP_RS03620	1180	1568	1098	2647	2573	2531	2791	1980	1612	1873	2164	1850
HP_RS03625	676	936	741	1386	1362	1555	1230	899	736	835	923	880
HP_RS03630	615	816	650	556	886	956	1228	987	707	906	843	784
HP_RS03635	814	1062	690	1420	1715	1739	1496	1219	990	1261	1134	1362
HP_RS03640	4076	5498	3372	2900	3490	3634	4920	4635	3208	4405	4118	4786
HP_RS03645	1539	1999	1368	1590	1540	1665	2593	2079	1537	1875	1914	1885
HP_RS03650	1440	1759	1363	1547	1964	1945	2477	1838	1482	1577	1920	1625
HP_RS03655	1503	2079	1374	1921	2287	2498	2632	2291	1826	2215	2000	2233
HP_RS03660	3198	4366	2819	2915	3861	4048	4314	3974	2920	3758	3649	3809
HP_RS03665	2905	3501	2584	3400	3678	4423	5106	6720	3155	6049	3925	5519
HP_RS03670	5157	6872	5312	6577	5157	6543	10213	12227	6432	11346	8226	10599
HP_RS03675	953	1155	910	814	1044	1315	2762	3136	1663	3165	2015	2918
HP_RS03680	408	424	358	397	498	601	1229	1291	668	1331	853	1186
HP_RS03685	185	264	189	276	383	439	921	591	453	612	569	481
HP_RS07880	276	435	300	299	306	365	723	505	394	490	528	380
HP_RS03690	421	850	439	506	540	628	911	664	559	642	734	564
HP_RS03695	1042	1463	918	2397	2313	2361	2319	1553	1504	1453	1906	1524
HP_RS03700	779	1085	759	1464	1623	1676	1489	916	935	962	1126	829
HP_RS03705	2047	2788	1992	3462	3668	4260	2354	1930	1392	1825	1830	1800
HP_RS03710	6190	8022	6042	13210	12797	14211	5737	5782	3500	4897	4355	5040
HP_RS03715	1068	1591	958	687	1611	1798	1536	1261	980	1393	1265	1345
HP_RS03720	2066	2423	2051	2656	2495	2787	2638	2229	1792	2095	2245	2101
HP_RS03725	364	480	320	774	597	613	570	437	354	392	419	381
HP_RS03730	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS03735	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS03740	452	662	425	543	782	897	900	743	464	785	712	756
HP_RS03745	571	771	415	232	390	441	718	597	349	510	521	507
HP_RS03750	223	292	151	692	431	528	537	378	304	373	414	374
HP_RS03755	418	611	443	1924	2676	2609	790	719	552	827	616	783
HP_RS03760	484	682	499	939	1896	1845	1151	920	670	886	806	924
HP_RS03765	743	1006	801	1099	1302	1571	2010	1708	1066	1651	1545	1626
HP_RS03770	1632	1883	1702	2620	2987	2937	3761	3203	2075	2954	2874	2709
HP_RS03775	4235	5948	3996	9234	9470	10513	8250	7009	5146	6807	6067	6754
HP_RS03780	3091	4918	2855	1843	3121	3959	4043	3756	2644	3884	3322	3618
HP_RS03785	897	2108	744	603	675	1165	1172	1026	755	1019	946	1001
HP_RS03790	378	493	335	132	202	263	633	679	420	635	495	536
HP_RS03795	22398	26092	22086	22728	12983	13970	24552	21311	17136	21131	23735	21339
HP_RS03800	1737	1584	1807	1540	1470	1436	3029	2335	1944	2293	2697	2243
HP_RS03805	1507	2738	1188	3152	3594	3945	2337	1483	1487	1432	1832	1620
HP_RS03810	6296	8530	5591	6651	6077	6727	9129	6613	5678	6325	7532	6502
HP_RS03815	19222	25025	16998	22574	15730	17621	14650	11984	10269	11214	13542	12239
HP_RS03820	435046	675556	487202	97746	239768	221797	768531	561868	484697	459829	585007	517516
HP_RS03825	2460	3401	2275	1916	2399	2666	2825	2779	1926	2669	2453	2688
HP_RS03830	6785	10605	6565	6102	4875	5912	8971	8864	5500	8583	7290	8345
HP_RS03835	1320	2352	1316	2522	1656	2013	2566	2185	1644	2209	2005	2257
HP_RS03840	14004	25311	12713	11062	11242	13444	16957	15030	10644	15531	14872	15599
HP_RS07885	92	147	82	78	166	185	113	72	76	76	101	66
HP_RS03845	2879	5141	2510	1957	3214	3699	4160	4010	2580	3629	3394	3833
HP_RS03850	3408	6849	3441	2955	2388	3107	6746	5913	4073	5833	5657	5486
HP_RS03855	3550	5641	3285	5233	4663	5649	7681	6798	4684	6509	6061	6547
HP_RS03860	2379	4034	2715	3034	2143	3118	4467	4479	2961	4254	3813	4134
HP_RS03865	3003	5251	3311	2621	2359	3418	5686	5918	3791	5623	5061	5728
HP_RS03870	13481	20838	12318	17572	12011	15242	18646	19441	12509	19641	16724	19821
HP_RS03875	9818	13367	8989	12136	10527	11393	7905	6568	5266	6509	6875	6776
HP_RS03880	32222	40921	31222	23166	20935	23287	22383	22877	15388	21995	19649	22250
HP_RS03885	628	775	718	891	1174	1175	1765	1515	1137	1445	1446	1477
HP_RS03890	1117	1608	1126	1584	1573	1639	2419	2107	1638	1821	2046	1907
HP_RS03895	209	312	233	432	457	463	936	798	593	722	731	712
HP_RS03900	86	153	130	118	174	228	310	325	215	319	266	319
HP_RS03905	254	438	281	429	523	737	853	644	475	673	655	653
HP_RS03910	828	1082	764	1884	2578	2756	2456	2027	1444	1920	1836	2022
HP_RS03915	1144	1690	1221	2852	2237	2408	2048	2594	1417	2285	1848	2322
HP_RS03920	389	437	341	443	899	851	4477	3908	2500	3781	3322	3493
HP_RS03925	278	412	261	750	706	693	1274	901	743	960	938	904
HP_RS03930	985	1187	894	1869	1882	1820	2078	1262	1337	1351	1884	1477
HP_RS03935	814	1136	797	1120	933	1059	1660	1379	1012	1152	1217	1232
HP_RS03940	2442	3055	2375	2731	2412	2572	5054	4797	3060	4045	3792	4207
HP_RS03945	551	698	550	1122	1027	1077	2569	2542	1577	2099	1924	2176
HP_RS03950	355	558	332	901	659	751	1659	1617	1107	1302	1374	1388
HP_RS03955	116	170	118	200	197	226	292	234	163	258	259	192
HP_RS03960	1592	1723	1436	2819	2438	2360	3771	3442	2178	3309	2759	3210
HP_RS03965	1340	1434	1240	2526	2200	2204	3066	2681	1859	2466	2231	2419
HP_RS03970	4280	5572	3814	3585	3585	3746	6339	5729	4351	5099	5570	5461
HP_RS03975	5538	7703	4710	4941	4364	4830	7238	6289	5266	5705	6603	6460
HP_RS03980	1630	2046	1318	2218	1890	2036	2839	2425	1930	2276	2405	2458
HP_RS03985	891	2016	857	1255	1222	1540	1630	1323	921	1326	1185	1313
HP_RS03990	687	965	569	710	836	947	1141	766	734	746	846	701
HP_RS03995	868	1020	703	499	641	611	1120	762	541	732	882	525
HP_RS04000	1683	2260	1489	1729	1750	1751	2347	1934	1280	1755	1794	1480
HP_RS04005	398	693	379	1217	1190	1234	1011	776	573	746	730	724
HP_RS04010	1340	1743	1222	1417	1076	1061	1851	1515	1143	1275	1532	1338
HP_RS04015	577	816	554	1109	662	663	804	699	510	603	680	543
HP_RS04020	19419	23177	19379	21601	19901	21191	15414	15629	11366	15621	14783	15016
HP_RS04025	46584	51263	46808	57071	51491	55363	36987	34648	26810	34533	34530	34683
HP_RS04030	783	1107	764	618	1282	1377	1627	1645	865	1420	1172	1243
HP_RS04035	5861	5902	5462	4237	10403	10463	13615	14236	8789	15427	11898	13823
HP_RS04040	3789	4945	3585	7631	7382	7929	5536	4389	3584	4361	4664	4398
HP_RS04045	2417	5150	2190	991	1057	1421	1953	2135	1293	2078	1881	1833
HP_RS04050	2731	5368	2517	1165	1267	1698	2637	2801	1603	2705	2349	2373
HP_RS04055	494	723	496	835	1258	1486	812	780	481	779	665	825
HP_RS04060	4069	5051	3568	4999	4683	5063	4160	4635	2721	4490	3460	3942
HP_RS04065	1585	2221	1295	1008	1790	1850	2096	1788	1370	1736	1627	1867
HP_RS04070	1315	1566	1240	1609	1647	1812	2489	2431	1414	2450	1870	2386
HP_RS04075	9536	6547	9171	4044	9526	8943	13091	12638	8502	12399	11524	11346
HP_RS04080	869	1040	799	899	2784	2851	2097	1890	1170	1993	1358	1790
HP_RS04085	12538	16256	10562	12152	7419	8647	14533	12456	10321	12391	13757	12836
HP_RS04090	6792	10079	5955	10870	6191	7149	8482	6329	5901	6313	7856	7401
HP_RS04095	9818	9986	10154	8358	7169	7322	11265	8293	7094	7293	9558	7685
HP_RS04100	2905	3891	2506	3094	3269	3619	5074	3483	3166	3403	4207	3579
HP_RS04105	1224	1815	854	2152	2356	2527	2877	2288	1692	2237	2318	2156
HP_RS04110	362	497	213	1076	1205	1267	1061	771	579	650	787	689
HP_RS04115	469	566	424	389	586	539	793	591	486	585	641	533
HP_RS04120	297	445	254	222	210	279	428	349	276	328	323	348
HP_RS04125	162	320	150	218	136	159	235	182	148	153	183	191
HP_RS04130	1842	2529	1635	1764	1599	1675	1681	1370	1189	1353	1597	1518
HP_RS04135	732	1288	690	385	877	952	1084	1021	737	958	877	977
HP_RS04140	3011	3753	2446	2826	4381	4461	4661	3423	2517	3519	3360	3010
HP_RS07925	1387	1455	1075	696	2633	2575	2483	1657	1183	1665	1545	1171
HP_RS04150	1118	1384	1167	2145	2120	2016	2931	2589	1849	2520	2388	2489
HP_RS04155	673	1089	685	1028	962	1091	983	784	678	752	941	743
HP_RS04160	565	1647	483	550	554	771	853	677	597	719	770	689
HP_RS04165	2400	2624	2252	4852	3035	3192	5035	4305	3124	3888	3764	3983
HP_RS04170	0	1	0	0	0	1	0	0	0	2	1	2
HP_RS04175	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04180	1310	2110	1522	1289	1441	1632	2662	2525	1653	2245	2182	2200
HP_RS04185	1759	3069	1744	2823	2462	2662	3111	2916	2128	2744	2746	2884
HP_RS04190	3215	4393	2773	4724	5029	5121	4820	4244	3239	4227	4094	4500
HP_RS04195	936	1228	832	2481	2557	2438	2750	2134	1724	2159	2112	2026
HP_RS04200	1755	1785	1726	5744	3912	3725	4110	3114	2562	2914	3139	3038
HP_RS04205	1651	1665	1632	5968	3922	3789	3361	2760	2165	2610	2641	2776
HP_RS04210	7427	9958	7006	16216	13024	13866	14032	12468	9065	11870	11500	12446
HP_RS04215	3499	5237	3589	3483	4860	5019	6370	6110	4007	5889	5242	5748
HP_RS04220	1660	1924	1712	1798	1880	1676	2784	2708	1881	2701	2388	2665
HP_RS04225	4088	5561	3908	3046	3293	3679	4938	5004	3307	4974	4268	4773
HP_RS04230	897	1299	734	2952	2745	2920	2234	1662	1314	1696	1516	1689
HP_RS04235	1761	2705	1576	3843	3458	4260	3129	2709	2008	2569	2448	2760
HP_RS04240	2488	4190	2305	4952	3395	4584	4247	4109	2802	3410	3573	3699
HP_RS04245	5304	8054	5398	12336	8405	10756	12779	13923	8123	12856	10932	12595
HP_RS04250	3410	4301	3097	5784	7682	6969	1496	1548	1017	1394	1302	1420
HP_RS04255	5620	8705	5069	8657	5830	6062	2044	1789	1693	1588	1951	1701
HP_RS04260	26356	47251	22578	31772	18285	19343	6098	4848	4679	4776	5965	4984
HP_RS04265	99986	147931	89055	113868	50525	52466	21654	17257	16715	17830	21210	19212
HP_RS04270	321937	405651	286249	208184	129564	131341	85818	70934	65138	73943	85525	77105
HP_RS04275	1152	1787	1035	18696	16807	24998	2566	4782	1665	4681	2325	4519
HP_RS04280	966	1081	927	6693	4551	5731	1234	1575	831	1406	1075	1390
HP_RS04285	2644	2816	2418	1364	1468	1585	2296	2148	1513	2189	2061	2018
HP_RS04290	164	189	100	264	414	386	345	262	187	254	193	254
HP_RS04305	197	470	165	140	153	206	388	313	225	285	267	272
HP_RS04310	2081	3333	1827	1207	1851	2165	3282	2574	1997	2469	2623	2439
HP_RS04315	712	981	770	2878	2433	2526	1497	1061	951	1044	1140	1135
HP_RS04320	2522	3245	2523	5819	4871	4825	3441	2495	2192	2252	2796	2197
HP_RS04325	8932	9589	8249	67210	50183	46897	40553	25073	31212	26670	39576	27172
HP_RS04330	800	990	714	908	819	908	1921	1338	1258	1317	1478	1172
HP_RS04335	666	774	666	788	580	576	1824	1383	1183	1287	1430	1322
HP_RS04340	362	509	396	321	235	248	842	596	525	573	685	572
HP_RS04345	9770	8467	10621	4110	4559	4748	11163	10127	8148	9254	10541	9171
HP_RS04350	775	959	834	476	813	780	1204	965	1004	839	1089	1008
HP_RS04355	462	509	440	78	184	154	469	491	527	366	411	658
HP_RS04360	5696	8893	5331	2795	2160	2392	3574	3321	2556	3238	3293	3603
HP_RS04365	6108	8858	5786	2418	2017	2159	3589	3834	3113	3266	3324	4469
HP_RS04370	18609	27949	16390	14692	13775	16130	22514	23616	16896	23390	22287	24821
HP_RS04375	63	64	31	143	333	317	388	214	144	255	202	102
HP_RS04380	43	45	26	123	222	206	317	146	95	201	128	58
HP_RS04385	326	309	257	585	484	403	901	540	598	596	702	581
HP_RS04390	3341	4408	2845	3648	2214	2296	6202	3970	4099	3950	5348	4096
HP_RS04395	3896	5942	3903	3820	1756	1938	5820	4142	4261	3831	5024	4218
HP_RS04400	9509	10816	9882	7300	3708	3854	13200	9770	9457	9139	11921	9584
HP_RS04405	1918	1815	1946	271	373	376	2352	1250	1585	955	2152	1172
HP_RS04410	106	45	52	55	92	106	180	160	115	155	126	138
HP_RS04415	11	7	11	26	28	23	25	18	9	14	20	15
HP_RS04420	46	59	53	85	70	60	93	79	53	60	64	61
HP_RS04425	2374	2948	1877	2328	5322	5898	4895	5473	3161	5283	4463	5303
HP_RS04430	4798	5472	4151	3508	3926	4308	6678	6926	4442	6584	6177	6734
HP_RS04435	5896	7672	5034	4614	4888	5602	9444	9515	6052	8967	8414	9278
HP_RS04440	531	859	532	523	792	898	1132	1142	697	1013	916	1053
HP_RS04445	399	504	347	557	642	767	755	653	412	571	618	608
HP_RS04450	617	738	528	1014	1276	1360	1391	1057	826	997	1020	1054
HP_RS04455	37653	59298	32586	43135	31359	42007	27543	24045	18817	24300	26609	24894
HP_RS04460	10080	31971	8244	10082	7324	13181	6897	5946	4003	5980	6193	5547
HP_RS04465	3791	4740	3526	7826	6560	6945	9175	7267	5873	6886	7905	7022
HP_RS04470	1945	2924	1868	3566	3779	4389	3639	2335	2204	2292	3038	2404
HP_RS04475	994	1493	954	2832	2097	2303	1397	1095	831	1007	1084	1061
HP_RS04480	5125	10039	4837	13631	9145	11905	6795	5449	4243	5445	5950	5462
HP_RS04485	20651	44004	21372	22839	10831	14548	19522	27734	13050	25322	17093	24527
HP_RS04490	1025	1154	946	1045	1173	1281	1588	1340	1001	1227	1239	1256
HP_RS04495	3656	4568	3171	2381	3508	3649	8118	5923	4529	5495	5203	5315
HP_RS04500	5699	6212	5792	2530	5084	5150	6462	6914	4703	5825	5252	6345
HP_RS04505	7112	7248	7268	2597	5613	5533	8479	9491	5154	8534	6808	7254
HP_RS04510	540	706	490	1616	986	1000	1092	976	659	939	754	906
HP_RS04515	1240	1781	1177	2280	2099	2072	2056	2107	1329	1856	1698	2010
HP_RS04520	2262	3061	2157	2455	2213	2124	2609	2791	1743	2474	2454	2670
HP_RS04525	898	1195	765	1008	1026	1050	1258	1181	783	1042	1011	1083
HP_RS04530	1720	2105	1394	3084	3326	3663	4095	3717	2334	3418	2866	3471
HP_RS04535	4491	5395	4157	4368	4077	4288	7490	6970	4781	6781	6270	6797
HP_RS04540	2946	3751	2909	3498	3058	2991	5635	4969	3749	4713	4761	4915
HP_RS04545	1462	1972	1372	2943	2100	2135	3401	2712	2195	2474	2689	2748
HP_RS04550	474	673	380	1198	1358	1358	1683	1369	999	1157	1238	1325
HP_RS04555	520	582	517	962	837	744	1186	1149	717	851	851	914
HP_RS04560	204	223	179	248	461	436	362	351	237	254	294	273
HP_RS04565	275	290	241	630	1472	1466	2904	2553	1596	2486	2268	2422
HP_RS07930	1163	1582	1038	310	829	799	1361	1404	950	1348	1135	1524
HP_RS07945	1546	1983	1442	561	1173	1244	1921	1820	1314	1802	1661	1880
HP_RS04575	801	974	706	2043	1792	1717	1982	2263	1136	1817	1452	2073
HP_RS04580	1622	2030	1575	3201	2950	2849	3741	4937	2198	4142	2623	4240
HP_RS04585	909	1774	905	3836	2456	2856	320	247	223	197	303	238
HP_RS04590	1132	1847	1107	3157	1823	2319	350	238	215	187	280	249
HP_RS04595	3977	5182	3654	8318	5071	5383	355	310	232	294	291	274
HP_RS04600	2487	2518	2268	5861	3835	3705	240	177	131	163	146	163
HP_RS04605	12	10	11	86	34	31	34	11	16	13	17	9
HP_RS04610	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04615	167	250	228	1656	3591	3601	1927	720	780	659	764	701
HP_RS04620	195	294	280	2922	4806	4932	2230	848	900	763	929	803
HP_RS04625	1377	2299	1481	12550	18221	17268	3960	3264	1661	3013	2549	2280
HP_RS04630	1805	3124	1927	14193	23127	23187	3743	3344	1611	3182	2644	2223
HP_RS04635	27212	30993	25512	17720	20326	20403	25632	27839	16196	24703	21566	22892
HP_RS04640	2864	4605	2526	2152	2733	2869	3925	3487	2491	3268	3139	3230
HP_RS04645	1064	2435	1018	1106	1017	1231	1744	1631	1058	1509	1375	1489
HP_RS04650	1273	2268	1378	1029	1146	1412	2826	2828	1560	2623	2114	2297
HP_RS04655	346	358	255	548	629	660	639	515	324	483	449	420
HP_RS04660	1872	2720	2005	2801	1799	1865	2082	1588	1299	1389	1688	1461
HP_RS04665	4075	5603	4236	5241	3666	3772	4654	3707	3021	3232	3889	3249
HP_RS04670	2903	3119	2718	4023	3773	4042	6974	5737	4279	5481	5645	5186
HP_RS04675	2213	2169	2052	3038	3253	3093	4977	4505	3257	4288	4139	4167
HP_RS04680	1060	1201	1056	2524	2218	2126	1470	1161	1070	1056	1326	1195
HP_RS04685	1973	2768	1981	5317	4259	4418	3273	2551	2081	2482	2686	2397
HP_RS04690	7713	9785	7185	8640	10074	10518	9265	8174	6285	7924	7886	7981
HP_RS04695	2726	3775	2478	3489	3480	3586	3493	2873	2370	2779	3062	2927
HP_RS04700	2811	3131	2733	3109	2622	2854	4428	3625	2645	3420	3955	3429
HP_RS04705	3192	3891	3331	3358	2719	3197	5346	4518	3201	4108	4403	3644
HP_RS04710	66	56	56	96	44	57	30	27	25	20	23	24
HP_RS04715	174	265	191	364	364	357	324	280	221	260	233	264
HP_RS04720	207	280	212	709	610	628	402	402	254	363	363	335
HP_RS04725	233	318	224	727	548	566	377	239	216	249	311	235
HP_RS04730	1081	1300	971	1173	1570	1613	2217	2057	1342	1883	1675	1776
HP_RS04735	123	205	141	188	378	340	360	339	231	288	247	289
HP_RS04740	959	1614	1013	1964	1781	1927	2569	2051	1420	1853	1937	1898
HP_RS04745	371	491	373	879	927	1052	1111	984	612	828	828	819
HP_RS04750	674	859	627	1790	1755	1828	2171	1788	1077	1670	1462	1681
HP_RS04755	4533	6320	3939	6667	5349	5585	8390	7772	5299	7487	6507	7562
HP_RS04760	8274	10410	7113	4775	6149	6759	11812	12503	7780	12291	9794	12663
HP_RS04765	5726	6547	5161	7282	6628	6908	12443	12622	7898	11811	9633	12214
HP_RS04770	2088	2335	1768	1366	1838	2011	4633	4713	2786	4432	3570	4316
HP_RS04775	1655	1946	1443	1459	1390	1465	1821	1438	1235	1515	1680	1469
HP_RS04780	3072	3871	2613	4293	5117	5452	7157	6528	4397	5935	5538	5961
HP_RS04785	6731	7347	6290	7544	7358	7342	9792	9399	6507	9010	8324	9017
HP_RS04790	9976	13572	9363	16841	9603	10235	13222	10800	8226	11126	11369	10910
HP_RS04795	21	32	27	111	72	75	65	55	32	72	57	33
HP_RS04800	119	153	96	227	489	503	373	325	127	355	265	174
HP_RS04805	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04810	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04820	2393	3034	2401	1503	1858	1847	2323	2818	1568	2670	2283	2620
HP_RS04825	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04830	0	1	0	0	0	0	0	0	0	0	0	0
HP_RS04835	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04840	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04850	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04855	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04860	691	918	721	891	1945	1975	1357	1577	813	1241	1140	1110
HP_RS04865	963	1246	946	821	1655	1660	1073	1153	812	855	979	918
HP_RS04870	318	443	293	142	293	309	361	292	286	218	310	251
HP_RS04875	970	929	794	217	915	909	1345	1427	736	1176	864	1086
HP_RS04880	1065	1137	864	394	1060	1102	1672	1786	915	1485	1015	1437
HP_RS04885	77	131	81	110	217	215	134	68	61	74	90	92
HP_RS04890	110	137	104	592	1030	1001	474	334	227	398	270	313
HP_RS04895	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04900	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04910	101	93	75	187	275	222	208	156	99	139	130	117
HP_RS04915	576	631	601	451	722	633	593	475	371	428	511	420
HP_RS04920	602	1156	635	1350	910	951	681	546	406	583	592	563
HP_RS04925	1531	2021	1451	2156	4696	4578	4406	3691	2445	3443	2663	3377
HP_RS04930	4631	5451	4428	1815	3472	3453	4494	4911	3080	4688	3637	4412
HP_RS04935	3075	3847	2918	1762	2652	2611	2936	3021	2135	2907	2384	3049
HP_RS04940	116	155	102	316	537	556	192	153	133	134	125	156
HP_RS04945	965	1887	689	568	674	773	901	671	652	691	889	695
HP_RS04950	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS04955	47	75	37	34	60	78	93	74	46	85	37	49
HP_RS04960	5	10	11	65	113	133	33	13	23	10	18	12
HP_RS04965	1165	1647	1003	1404	1774	1955	1957	1628	1257	1590	1552	1597
HP_RS04970	1749	1979	1549	2407	3454	3367	3987	3461	2580	3462	2897	3622
HP_RS04975	14146	19322	13132	20511	15890	16885	20094	18959	12576	18139	16177	18211
HP_RS04980	3663	5102	3391	5530	4877	5449	6386	5316	4044	5038	5168	5267
HP_RS04985	2592	4452	2576	2568	2865	3474	4051	3395	2566	3079	3368	3197
HP_RS04990	1465	2808	1355	2315	2551	2924	2813	2481	1843	2347	2192	2447
HP_RS04995	508	927	457	1521	1717	1768	1610	1219	851	1261	1142	1232
HP_RS05000	984	1693	875	1782	1543	1901	3001	2845	2050	2769	2590	3011
HP_RS05005	13225	17709	11785	14337	10665	11890	29775	25226	21944	25688	28928	27587
HP_RS05010	6399	8812	5475	10394	5977	6434	14362	11601	10171	11319	13472	12194
HP_RS05015	2385	3456	1865	3547	3256	3611	1	0	0	0	0	0
HP_RS05020	659	815	517	2258	2925	3032	7290	4754	3547	4594	3923	3960
HP_RS05025	874	998	960	692	937	920	1377	979	723	950	1001	822
HP_RS05030	971	1392	1036	796	774	865	1941	1445	1372	1391	1876	1595
HP_RS05035	502	784	544	493	462	517	1038	738	734	748	1002	766
HP_RS05040	418	675	379	508	613	736	831	506	537	466	748	560
HP_RS05045	4203	5349	3963	7861	6381	6978	3187	3999	2283	3761	2842	3864
HP_RS05050	2071	2848	2029	3851	3469	3753	3491	3151	2156	2841	2801	2828
HP_RS05055	725	972	803	827	1066	1169	2335	1843	1401	1728	1893	1705
HP_RS05060	906	1241	799	1310	1207	1389	2122	1770	1309	1949	1676	1780
