A_1_1.fq.sorted.bam	B_2_1.fq.sorted.bam	C_3_1.fq.sorted.bam	D_4_1.fq.sorted.bam	E_5_1.fq.sorted.bam	F_6_1.fq.sorted.bam	R4_1.fq.sorted.bam	R4S_1.fq.sorted.bam	R5_1.fq.sorted.bam	R5S_1.fq.sorted.bam	R6_1.fq.sorted.bam	R6S_1.fq.sorted.bam
HP_RS00690	3435	5003	3285	19670	12658	12939	759	610	541	625	716	702
HP_RS00695	3718	5148	3293	15728	12645	13125	3104	2128	1964	2288	2709	2446
HP_RS00700	567	818	500	2829	2616	2714	672	442	385	417	506	446
HP_RS00705	1096	1108	1048	1933	1431	1261	774	663	522	589	731	592
HP_RS00710	4591	6648	5275	1864	2200	2716	7357	6528	4433	6502	6245	5824
HP_RS00715	4436	8274	4956	2213	1998	2486	5953	5287	3952	5230	5382	5278
HP_RS00720	3359	6349	3273	2053	1516	1882	3972	3572	2780	3451	3479	3801
HP_RS00725	10043	14256	9211	6102	4354	5063	11349	9895	7599	9753	10271	10357
HP_RS00730	7649	13025	7224	2351	3336	3840	7195	6193	4849	5852	6667	6436
HP_RS00735	8528	14416	8035	6066	4650	5380	8818	7229	5707	6583	7836	7147
HP_RS00740	2326	3570	2179	1957	1763	1744	3176	2767	2223	2594	2945	2621
HP_RS00745	5050	6530	4991	3691	4392	4490	4998	3738	3137	3656	4387	3385
HP_RS00750	1812	2119	1881	1426	2167	2195	2032	1327	1233	1367	1716	1297
HP_RS00755	2590	4941	2770	1373	1307	1838	2872	3039	1669	3124	2562	2675
HP_RS00760	6632	11419	6917	3919	3500	4849	5719	5991	3616	5582	5197	5223
HP_RS00765	2769	4994	2668	2804	1878	2825	2934	3041	1831	2990	2698	3009
HP_RS00770	3010	5036	2711	3366	2745	3895	3897	3811	2369	3947	3406	3982
HP_RS00775	1035	1653	957	2050	1637	1933	1910	1620	1233	1696	1624	1688
HP_RS00780	476	843	374	1209	1210	1314	1443	1055	912	1028	1079	1011
HP_RS00785	638	780	494	950	1625	1840	1704	1695	816	1760	1035	1648
HP_RS00790	543	1114	558	392	594	890	1671	1421	854	1538	1168	1247
HP_RS00795	1170	1277	1177	2171	2503	2498	2983	2630	1785	2701	2305	2604
HP_RS00800	950	1036	857	2849	3199	3454	2692	2328	1748	2272	2012	2300
HP_RS00805	2945	4842	2463	11734	10132	11594	6605	5406	4751	5301	5751	6052
HP_RS00810	11902	16349	11368	27795	20918	23091	15948	15553	11501	14055	14467	15279
HP_RS00815	343	521	353	810	1238	1231	1134	916	591	878	754	895
HP_RS00820	438	830	360	677	1119	1253	1060	803	624	834	805	962
HP_RS00825	4050	6080	4026	4388	3758	4170	5963	5050	4047	5052	5413	5420
HP_RS00830	6943	9915	6482	4841	4118	4920	6950	6249	4801	6259	6544	6593
HP_RS00835	913	1333	926	892	1144	1230	2031	1435	1103	1367	1493	1303
HP_RS00840	1318	1712	1205	1051	941	1050	1471	1462	940	1324	1359	1337
HP_RS00845	325	434	292	401	460	541	626	691	405	687	551	625
HP_RS00850	311	469	298	255	584	620	689	728	423	733	559	669
HP_RS00855	31691	44583	31140	35485	26118	29943	26419	25168	19476	23874	24969	25215
HP_RS00860	22693	25239	23428	31178	20918	22792	24659	23036	17088	22798	23030	23785
HP_RS00865	9615	8834	10519	10106	9691	9866	12922	12570	8335	12453	11382	11635
HP_RS00870	1053	1478	914	2055	1812	1857	1460	1229	945	1205	1287	1243
HP_RS00875	370	463	305	366	562	545	623	593	434	509	529	493
HP_RS00880	512	600	359	671	1101	1028	1054	900	636	855	919	788
HP_RS00885	1577	1733	1452	2257	3138	3011	4287	3701	2571	3630	3306	3417
HP_RS00890	6564	8588	5923	9673	8562	9130	10755	10132	6807	9837	8859	9458
HP_RS00895	3354	5022	3807	3797	3089	3602	6305	6174	4198	5611	5460	5538
HP_RS00900	2873	3495	2949	2812	3081	3510	6415	5977	4250	5495	5221	5944
HP_RS00905	11476	15681	11211	6608	10547	11222	14683	15016	9997	14629	13449	15111
HP_RS00910	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS00915	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS00920	1462	1794	1359	2549	2098	2467	2429	2090	1678	2027	2107	2263
HP_RS00925	3053	4858	2698	3551	3164	3390	3449	2806	2300	2783	3147	2769
HP_RS00930	12092	15956	11322	17147	7570	8037	10521	9633	7413	9588	10440	9635
HP_RS00935	11677	15152	11743	8868	6673	8081	12254	10386	8124	10392	11772	10083
HP_RS00940	2743	4102	2743	2095	2181	2651	2740	2415	1766	2471	2462	2312
HP_RS00945	3517	4648	3517	2185	2539	2716	4118	4328	2656	3937	3462	3978
HP_RS00950	3008	3342	3337	2387	1829	1987	3915	4088	2592	3828	3497	3886
HP_RS00955	1484	2444	1757	743	913	1092	1712	1720	1066	1604	1504	1508
HP_RS00960	3757	4848	4330	2989	2492	2924	5335	5082	3371	4911	4717	4482
HP_RS00965	1311	2065	1662	1509	1485	1800	1641	1623	1007	1533	1471	1295
HP_RS00970	1393	1603	1470	838	1578	1694	1998	1931	1328	1806	1680	1616
